>>> A/B lean physics: seed 92 = FULL block, seed 93 = LEAN  2026-09-01 08:59:51
2026-09-01 09:00:45,055 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:45,055 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:45,060 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:45,060 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:45,060 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:45,067 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:46,462 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:46,464 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:46,465 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:46,465 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:46,468 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:46,471 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:46,471 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:46,474 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:46,474 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:46,477 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:46,477 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:46,480 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:46,480 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:46,485 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:46,485 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:46,485 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:46,492 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:48,533 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:48,541 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_9861e013-6d51-435c-9c41-23b5229b26c3.json (1 events)
2026-09-01 09:00:49,838 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:49,844 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_6fe87e16-f806-4378-a40c-43697d2a887f.json (1 events)
2026-09-01 09:00:53,757 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:53,759 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:53,760 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:53,760 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:53,763 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:53,766 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:53,766 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:53,768 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:53,768 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:53,772 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:53,772 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:53,774 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:53,774 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:53,779 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:53,779 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:53,779 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:53,786 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:53,790 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:57,148 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:57,151 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:57,151 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:57,152 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:57,156 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:57,159 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
